敵のID,座標1X座標,座標1Y座標,座標1Z座標,座標2X座標orEnemyShotのRotX,座標2Y座標orEnemyShotのRotY,座標2Z座標orEnemyShotのRotZ,移動制限X座標,移動制限Z座標,移動制限X距離,移動制限Z距離,敵の種類,コインの有無
0,-190,191,-4170,-60,191,-4170,0,-4100,190,200,0,0
1,190,191,-4170,60,191,-4170,0,-4100,190,200,0,0
2,-150,95,-2950,0,95,-2950,0,-2790,190,290,0,0
3,150,95,-2800,0,95,-2800,0,-2790,190,290,0,0
4,-140,299,-3350,140,299,-3350,0,-3270,190,150,0,0
5,-140,241,-2190,140,241,-2190,0,-2190,190,190,0,0
6,85,43,-980,85,43,-750,0,-825,200,175,0,0
7,-85,43,-750,-85,43,-980,0,-825,200,175,0,0
8,-90,191,-4540,0,180,0,0,0,0,0,1,0
9,90,191,-4540,0,180,0,0,0,0,0,1,0
10,0,191,-4220,0,180,0,0,0,0,0,1,0
11,0,-14,-517,0,180,0,0,0,0,0,1,0
12,150,299,-3500,-150,299,-3500,0,-3630,190,165,2,0
13,0,241,-2290,0,241,-2090,0,-2190,190,190,2,0
14,100,241,-1400,-100,241,-1400,0,-1350,190,150,2,1
15,150,200,-3080,-150,200,-3080,0,200,190,90,3,0
