敵のID,座標1X座標,座標1Y座標,座標1Z座標,座標2X座標またはX軸回転角度,座標2Y座標またはY軸回転角度,座標2Z座標またはX軸回転角度,初期X座標またはスイッチX座標,初期Y座標またはスイッチY座標,初期Z座標またはスイッチZ座標,X軸拡大率,Y軸拡大率,Z軸拡大率,影禁止エリアまたはブロックの種類,影禁止エリアの動きID,ギミックの種類
0,0,-15,-165,0,0,0,0,0,0,0.1,0.1,0.1,0,0,4
1,0,241,-1850,0,0,0,0,232,-1200,0.1,0.1,0.1,1,0,4
2,0,350,-3450,0,90,0,0,0,0,0.5,0.5,0.6,0,0,1
3,130,350,-3450,0,90,0,0,0,0,0.5,0.5,0.6,0,0,1
4,-130,350,-3450,0,90,0,0,0,0,0.5,0.5,0.6,0,0,1
5,0,131,-1078.8,0,90,0,0,0,0,0.18,1,2.05,0,0,6
6,0,184,-3117.5,0,90,0,0,0,0,0.18,1.05,2.02,0,0,6
7,0,110,-2550,0,0,0,0,0,0,0.2,0.2,0.2,0,0,5
8,40,110,-2550,0,0,0,0,0,0,0.2,0.2,0.2,0,0,5
9,-40,110,-2550,0,0,0,0,0,0,0.2,0.2,0.2,0,0,5
10,-100,110,-2650,0,0,0,0,0,0,0.2,0.2,0.2,0,0,5
11,100,110,-2650,0,0,0,0,0,0,0.2,0.2,0.2,0,0,5
12,0,110,-2770,0,0,0,0,0,0,0.2,0.2,0.2,0,0,5
13,-100,110,-2890,0,0,0,0,0,0,0.2,0.2,0.2,0,0,5
14,100,110,-2890,0,0,0,0,0,0,0.2,0.2,0.2,0,0,5
15,0,-25,-410,0,0,0,0,0,0,1.3,1,1.2,0,0,3
16,168,34,-700,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
17,-168,34,-700,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
18,0,34,-700,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
19,-84,34,-784,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
20,84,34,-784,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
21,168,34,-868,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
22,-168,34,-868,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
23,0,34,-868,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
24,84,34,-952,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
25,-84,34,-952,0,0,0,0,0,0,0.42,0.5,0.42,0,0,3
26,0,180.6,-4260,0,0,0,0,0,0,3.04,0.5,4.52,0,0,3
27,0,220,-4690,0,0,0,0,0,0,0.1,0.1,0.1,0,0,2
28,0,-35,-50,0,0,0,0,0,0,0.35,0.35,0.35,0,0,0
